"Localidade";"Ano";"Posição Geográfica - Altitude (m)";"Posição Geográfica - Latitude (texto)";"Posição Geográfica - Longitude (texto)"
"Israelândia";"2014";"393,47";"";""
"Itaberaí";"2009";"701";"16º 01’ 13” ";"49º 48’ 37” "
"Itaberaí";"2014";"722,24";"";""
"Itaguari";"2009";"687";"15º 55’ 07” ";"49º 36’ 16” "
"Itaguari";"2014";"641,69";"";""
"Itaguaru";"2009";"770";"15º 45’ 30” ";"49º 38’ 03” "
"Itaguaru";"2014";"798,49";"";""
"Itajá";"2009";"442";"19º 04’ 03” ";"51º 32’ 40” "
"Itajá";"2014";"437,95";"";""
"Itapaci";"2009";"557";"14º 57’ 03” ";"49º 32’ 58” "
"Itapaci";"2014";"566,93";"";""
"Itapirapuã";"2009";"348";"15º 49’ 24” ";"50º 36’ 48” "
"Itapirapuã";"2014";"368,11";"";""
"Itapuranga";"2009";"651";"15º 33’ 44” ";"49º 56’ 55” "
"Itapuranga";"2014";"646,52";"";""
"Itarumã";"2009";"474";"18º 46’ 09” ";"51º 20’ 53” "
"Itarumã";"2014";"501,02";"";""
"Itauçu";"2009";"839";"16º 12’ 02” ";"49º 36’ 29” "
"Itauçu";"2014";"840,26";"";""
"Itumbiara";"2009";"448";"18º 25’ 09” ";"49º 12’ 55” "
"Itumbiara";"2014";"461,81";"";""
"Ivolândia";"2009";"637";"16º 36’ 07” ";"50º 47’ 38” "
"Ivolândia";"2014";"629,34";"";""
"Jandaia";"2009";"637";"17º 02’ 55” ";"50º 08’ 46” "
"Jandaia";"2014";"592,68";"";""
"Jaraguá";"2009";"666";"15º 45’ 25” ";"49º 20’ 04” "
"Jaraguá";"2014";"658,44";"";""
"Jataí";"2009";"696";"17º 52’ 53” ";"51º 42’ 52” "
"Jataí";"2014";"724";"";""
"Jaupaci";"2009";"354";"16º 10’ 41” ";"50º 57’ 11” "
"Jaupaci";"2014";"354,97";"";""
"Jesúpolis";"2009";"700";"15º 57’ 05” ";"49º 22’ 26” "
"Jesúpolis";"2014";"700,93";"";""
"Joviânia";"2009";"807";"17º 48’ 21” ";"49º 36’ 46” "
"Joviânia";"2014";"847,75";"";""
"Jussara";"2009";"317";"15º 51’ 54” ";"50º 52’ 05” "
"Jussara";"2014";"326,79";"";""
"Lagoa Santa";"2009";"400";"19º 10’ 54” ";"51º 23’ 53” "
"Lagoa Santa";"2014";"390,85";"";""
"Leopoldo de Bulhões";"2009";"1.030";"16º 37’ 09” ";"48º 44’ 37” "
"Leopoldo de Bulhões";"2014";"1028,7";"";""
"Luziânia";"2009";"930";"16º 15’ 09” ";"47º 57’ 01” "
"Luziânia";"2014";"957,53";"";""
"Mairipotaba";"2009";"658";"17º 17’ 57” ";"49º 29’ 29” "
"Mairipotaba";"2014";"654,46";"";""
"Mambaí";"2009";"709";"14º 29’ 16” ";"46º 06’ 47” "
"Mambaí";"2014";"721,5";"";""
"Mara Rosa";"2009";"530";"14º 00’ 59” ";"49º 10’ 38” "
"Mara Rosa";"2014";"514,69";"";""
"Marzagão";"2009";"604";"17º 58’ 53” ";"48º 38’ 25” "
"Marzagão";"2014";"615,53";"";""
"Matrinchã";"2009";"315";"15º 26’ 37” ";"50º 44’ 46” "
"Matrinchã";"2014";"337,37";"";""
"Maurilândia";"2009";"450";"17º 58’ 15” ";"50º 20’ 19” "
"Maurilândia";"2014";"468,69";"";""
"Mimoso de Goiás";"2009";"675";"15º 03’ 22” ";"48º 09’ 41” "
"Mimoso de Goiás";"2014";"677,9";"";""
"Minaçu";"2009";"351";"13º 31’ 59” ";"48º 13’ 12” "
"Minaçu";"2014";"365,76";"";""
"Mineiros";"2009";"750";"17º 34’ 10” ";"52º 33’ 04” "
"Mineiros";"2014";"789,96";"";""
"Moiporá";"2009";"678";"16º 32’ 46” ";"50º 44’ 21” "
"Moiporá";"2014";"632,48";"";""
"Monte Alegre de Goiás";"2009";"557";"13º 15’ 23” ";"46º 54’ 02” "
"Monte Alegre de Goiás";"2014";"540,42";"";""
"Montes Claros de Goiás";"2009";"472";"16º 00’ 28” ";"51º 23’ 48” "
"Montes Claros de Goiás";"2014";"397,31";"";""
"Montividiu";"2009";"821";"17º 26’ 39” ";"51º 10’ 29” "
"Montividiu";"2014";"808,01";"";""
"Montividiu do Norte";"2009";"400";"13º 06’ 45” ";"48º 36’ 26” "
"Montividiu do Norte";"2014";"378,08";"";""
"Morrinhos";"2009";"771";"17º 43’ 52” ";"49º 05’ 58” "
"Morrinhos";"2014";"789,89";"";""
"Morro Agudo de Goiás";"2009";"691";"15º 19’ 15” ";"50º 03’ 24” "
"Morro Agudo de Goiás";"2014";"718,57";"";""
"Mossâmedes";"2009";"615";"16º 07’ 36” ";"50º 12’ 54” "
"Mossâmedes";"2014";"622,43";"";""
"Mozarlândia";"2009";"309";"14º 44’ 41” ";"50º 34’ 14” "
"Mozarlândia";"2014";"306,24";"";""
"Mundo Novo";"2009";"263";"13º 46’ 34” ";"50º 16’ 52” "
"Mundo Novo";"2014";"253,75";"";""
"Mutunópolis";"2009";"413";"13º 43’ 57” ";"49º 16’ 30” "
"Mutunópolis";"2014";"403,88";"";""
"Nazário";"2009";"649";"16º 34’ 54” ";"49º 52’ 54” "
"Nazário";"2014";"637,8";"";""
"Nerópolis";"2009";"832";"16º 24’ 23” ";"49º 13’ 07” "
"Nerópolis";"2014";"839,75";"";""
"Niquelândia";"2009";"583";"14º 28’ 26” ";"48º 27’ 35” "
"Niquelândia";"2014";"578,34";"";""
"Nova América";"2009";"796";"15º 01’ 18” ";"49º 53’ 45” "
"Nova América";"2014";"809,65";"";""
"Nova Aurora";"2009";"719";"18º 03’ 27” ";"48º 15’ 13” "
"Nova Aurora";"2014";"709,16";"";""
"Nova Crixás";"2009";"282";"14º 05’ 55” ";"50º 19’ 36” "
"Nova Crixás";"2014";"292,6";"";""
"Nova Glória";"2009";"562";"15º 08’ 35” ";"49º 34’ 16” "
"Nova Glória";"2014";"595,27";"";""
"Nova Iguaçu de Goiás";"2009";"375";"14º 17’ 16” ";"49º 23’ 15” "
"Nova Iguaçu de Goiás";"2014";"390,73";"";""
"Nova Roma";"2009";"610";"13º 44’ 31” ";"46º 52’ 49” "
"Nova Roma";"2014";"654,42";"";""
"Nova Veneza";"2009";"806";"16º 22’ 15” ";"49º 19’ 23” "
"Nova Veneza";"2014";"786,38";"";""
"Novo Brasil";"2009";"400";"16º 02’ 03” ";"50º 42’ 40” "
"Novo Brasil";"2014";"381,75";"";""
"Novo Gama";"2009";"1.100";"16º 03’ 33” ";"48º 02’ 22” "
"Novo Gama";"2014";"1111,89";"";""
"Novo Planalto";"2009";"304";"13º 14’ 40” ";"49º 30’ 14” "
"Novo Planalto";"2014";"310,92";"";""
"Orizona";"2009";"806";"17º 01’ 53” ";"48º 17’ 45” "
"Orizona";"2014";"830,55";"";""
"Ouro Verde de Goiás";"2009";"1.040";"16º 13’ 13” ";"49º 11’ 36” "
"Ouro Verde de Goiás";"2014";"1018,11";"";""
"Ouvidor";"2009";"810";"18º 14’ 01” ";"47º 50’ 20” "
"Ouvidor";"2014";"829,95";"";""
"Padre Bernardo";"2009";"629";"15º 09’ 37” ";"48º 17’ 02” "
"Padre Bernardo";"2014";"635,93";"";""
